---VEHICLE COMPLETION FILE [BY FILE MANAGER] ---
Vehicle 1 | 1->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 87 | 2->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 88 | 1->4 | Status: Arrived | TravelTime: 5 steps
Vehicle 89 | 0->4 | Status: Arrived | TravelTime: 9 steps
Vehicle 90 | 1->4 | Status: Arrived | TravelTime: 5 steps
Vehicle 91 | 1->3 | Status: Arrived | TravelTime: 3 steps
Vehicle 92 | 1->2 | Status: Arrived | TravelTime: 1 steps
Vehicle 93 | 0->4 | Status: Arrived | TravelTime: 7 steps
Vehicle 94 | 0->2 | Status: Arrived | TravelTime: 2 steps
Vehicle 95 | 0->2 | Status: Arrived | TravelTime: 2 steps
Vehicle 96 | 1->4 | Status: Arrived | TravelTime: 4 steps
Vehicle 97 | 0->4 | Status: Arrived | TravelTime: 5 steps
Vehicle 98 | 1->4 | Status: Arrived | TravelTime: 9 steps
Vehicle 99 | 2->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 100 | 1->3 | Status: Arrived | TravelTime: 2 steps
